DESCRIPTION,DATE_OF_VAC_ORDER,BLDG_TX_BORO,AKA_ADDRESS,BLDG_COMMUNITY_DIST,COUNCIL_DISTRICT,BIN,BBL,LST_COMPL_INSP_DATE,STATUS_CHANGE_DATE,OCPCY_DESC,lat,lon,Year Built,Building Age Category,Count
Dismissal,10/31/2010,BK,"354-362 SCHOLES STREET, BK",301.0,34.0,3071039,3030480014,02/14/2012,03/28/2012,Factory/Industrial,40.7096224,-73.9338193,1920.0,1920 to 1939 (Pre-war late),1
Dismissal,11/05/2010,BK,"1070 BERGEN STREET, BK",308.0,36.0,3030658,3012191101,05/10/2012,05/17/2012,Residential,,,,Unknown,1
Dismissal,11/10/2010,BX,"2368 DAVIDSON AVENUE, BX ;22 WEST 184 STREET, BX",207.0,14.0,2014272,2031980072,02/23/2012,02/29/2012,Residential,40.8607041,-73.9034895,1901.0,1900 to 1919 (Pre-war mid),1
Dismissal,12/09/2010,BX,"1443 TAYLOR AVENUE, BX",209.0,18.0,2028224,2038990049,06/23/2015,05/05/2015,Residential,40.8364232,-73.8664575,1930.0,1920 to 1939 (Pre-war late),1
Rescinded,01/04/2011,BK,"1531-1537 63 STREET, BK ;1531-1535 63 STREET, BK ;1532-1536 62 STREET, BK",311.0,38.0,3132691,3055300019,09/01/2015,09/17/2015,Storage,40.6242019,-73.9947406,1931.0,1920 to 1939 (Pre-war late),1
Dismissal,04/20/2011,MN,"146-148 WEST 28 STREET, MN",105.0,3.0,1015094,1008030065,03/21/2013,11/14/2012,Residential,40.7466789,-73.9926196,1910.0,1900 to 1919 (Pre-war mid),1
Dismissal,04/28/2011,BX,"1852 DR M L KING JR BOULEVARD, BX ;1852 UNIVERSITY AVENUE, BX",205.0,14.0,2008523,2028680019,02/10/2012,03/12/2012,Residential,40.8516576,-73.9140213,1920.0,1920 to 1939 (Pre-war late),1
Dismissal,05/02/2011,BX,"1812 WALLACE AVENUE, BX",211.0,13.0,2043613,2040530011,01/27/2012,04/23/2015,Residential,40.846317,-73.8633581,1899.0,Pre 1900,1
Dismissal,05/03/2011,BX,"1039 LOWELL STREET, BX",202.0,17.0,2006300,2027570124,06/12/2015,,Residential,40.8261802,-73.8873448,1930.0,1920 to 1939 (Pre-war late),1
Dismissal,05/05/2011,BX,"33 MARVIN PLACE, BX",210.0,13.0,2042331,2040000042,08/28/2015,12/16/2011,Residential,40.8416889,-73.8476245,1910.0,1900 to 1919 (Pre-war mid),1
